	ACCN	#of members	final_clus_rep
91542	YP_009950135.1	28	YP_009950135.1
91577	YP_009950248.1	28	YP_009950248.1
70313	YP_009614013.1	28	YP_009614013.1
77393	YP_009799876.1	28	YP_009799876.1
4468	NP_570763.1	28	NP_570763.1
113924	YP_025131.1	28	YP_025131.1
14357	YP_003347641.1	28	YP_003347641.1
82689	YP_009823396.1	28	YP_009823396.1
33799	YP_008431131.1	28	YP_008431131.1
77418	YP_009799928.1	28	YP_009799928.1
98417	YP_010105402.1	28	YP_010105402.1
18984	YP_004821469.1	28	YP_004821469.1
112222	YP_010680493.1	28	YP_010680493.1
94816	YP_010062214.1	28	YP_010062214.1
50358	YP_009208971.1	28	YP_009208971.1
105436	YP_010651453.1	28	YP_010651453.1
105600	YP_010652115.1	28	YP_010652115.1
68877	YP_009606686.1	28	YP_009606686.1
13404	YP_002456088.1	28	YP_002456088.1
70502	YP_009615133.1	28	YP_009615133.1
77218	YP_009798650.1	28	YP_009798650.1
5741	NP_818152.1	28	NP_818152.1
482	5A2T_A	28	5A2T_A
37567	YP_009015043.1	28	YP_009015043.1
102278	YP_010356909.1	28	YP_010356909.1
55	1PER_L	28	1PER_L
13405	YP_002456091.1	28	YP_002456091.1
86469	YP_009847088.1	28	7Z4B_EA
72571	YP_009638559.1	28	YP_009638559.1
5753	NP_818187.1	28	NP_818187.1
97885	YP_010098724.1	28	YP_010098724.1
56928	YP_009287877.1	28	YP_009287877.1
60650	YP_009342395.1	28	YP_009342395.1
93721	YP_010052840.1	28	YP_010052840.1
40571	YP_009094182.1	28	6TMR_A
105626	YP_010652395.1	28	YP_010652395.1
13410	YP_002456114.1	28	YP_002456114.1
13414	YP_002456123.1	28	YP_002456123.1
86252	YP_009846221.1	28	YP_009846221.1
94264	YP_010059006.1	28	YP_010059006.1
39813	YP_009046741.1	28	YP_009046741.1
83687	YP_009833566.1	28	YP_009833566.1
29676	YP_007688816.1	28	6M78_B
16977	YP_004300229.1	28	YP_004300229.1
56640	YP_009284901.1	28	YP_009284901.1
20654	YP_005087069.1	28	YP_005087069.1
93921	YP_010054737.1	28	YP_010054737.1
5772	NP_818245.1	28	NP_818245.1
113573	YP_010750076.1	28	YP_010750076.1
60199	YP_009336965.1	28	YP_009336965.1
84705	YP_009839037.1	28	YP_009839037.1
108709	YP_010667427.1	28	YP_010667427.1
1561	NP_042930.1	28	5DOC_A
18017	YP_004326983.1	28	YP_004326983.1
49388	YP_009199398.1	28	YP_009199398.1
94994	YP_010065193.1	28	YP_010065193.1
49387	YP_009199397.1	28	YP_009199397.1
13309	YP_002333529.1	28	YP_002333529.1
21149	YP_005352802.1	28	6QT9_C
94006	YP_010055788.1	28	YP_010055788.1
71590	YP_009621572.1	28	YP_009621572.1
111503	YP_010678345.1	28	YP_010678345.1
1421	NP_042022.1	28	3F1J_A
5207	NP_734197.1	28	NP_734197.1
59163	YP_009324510.1	28	YP_009324510.1
53720	YP_009225820.1	28	YP_009225820.1
83436	YP_009832035.1	28	YP_009832035.1
84972	YP_009841133.1	28	YP_009841133.1
23520	YP_006986840.1	28	YP_006986840.1
80800	YP_009815443.1	28	YP_009815443.1
90143	YP_009900692.1	28	YP_009900692.1
61546	YP_009352961.1	28	1F7D_A
95507	YP_010081570.1	28	YP_010081570.1
112894	YP_010731747.1	28	YP_010731747.1
53717	YP_009225790.1	28	YP_009225790.1
45117	YP_009152765.1	28	YP_009152765.1
92946	YP_010002530.1	28	YP_010002530.1
47167	YP_009174407.1	28	YP_009174407.1
111526	YP_010678476.1	28	YP_010678476.1
22361	YP_006546301.1	28	YP_006546301.1
38957	YP_009035319.1	28	YP_009035319.1
69439	YP_009610744.1	28	YP_009610744.1
33591	YP_008409109.1	28	YP_008409109.1
94997	YP_010067165.1	28	YP_010067165.1
79035	YP_009808134.1	28	6D5F_A
92689	YP_009999078.1	28	YP_009999078.1
84701	YP_009839007.1	28	YP_009839007.1
97039	YP_010090380.1	28	YP_010090380.1
47133	YP_009174285.1	28	YP_009174285.1
36080	YP_009004875.1	28	YP_009004875.1
58106	YP_009303034.1	28	YP_009303034.1
81381	YP_009817928.1	28	6D5F_a
49475	YP_009200359.1	28	YP_009200359.1
58135	YP_009303198.1	28	YP_009303198.1
48889	YP_009195298.1	28	YP_009195298.1
113230	YP_010740398.1	28	YP_010740398.1
47045	YP_009174029.1	28	YP_009174029.1
93617	YP_010051736.1	28	YP_010051736.1
7903	YP_001285443.1	28	YP_001285443.1
38997	YP_009035733.1	28	YP_009035733.1
68244	YP_009601320.1	28	YP_009601320.1
113289	YP_010742585.1	28	YP_010742585.1
116788	YP_516210.1	28	YP_516210.1
75592	YP_009789968.1	28	YP_009789968.1
53733	YP_009225910.1	28	YP_009225910.1
44537	YP_009149135.1	28	YP_009149135.1
18026	YP_004327017.1	28	YP_004327017.1
30390	YP_008051233.1	28	YP_008051233.1
31979	YP_008126203.1	28	YP_008126203.1
105856	YP_010654854.1	28	YP_010654854.1
111487	YP_010678212.1	28	YP_010678212.1
108336	YP_010665739.1	28	YP_010665739.1
12699	YP_002224545.1	28	YP_002224545.1
23156	YP_006907482.1	28	YP_006907482.1
1459	NP_042344.1	28	NP_042344.1
80220	YP_009812847.1	28	YP_009812847.1
34092	YP_008437231.1	28	YP_008437231.1
44115	YP_009145665.1	28	YP_009145665.1
20264	YP_004957256.1	28	YP_004957256.1
5129	NP_700395.1	28	NP_700395.1
81606	YP_009819024.1	28	YP_009819024.1
44118	YP_009145674.1	28	YP_009145674.1
44120	YP_009145691.1	28	YP_009145691.1
1922	NP_047154.1	28	NP_047154.1
64205	YP_009483551.1	28	YP_009483551.1
23114	YP_006907373.1	28	YP_006907373.1
16688	YP_004123899.1	28	YP_004123899.1
93078	YP_010013316.1	28	YP_010013316.1
53492	YP_009224459.1	28	YP_009224459.1
24275	YP_007002344.1	28	YP_007002344.1
44116	YP_009145671.1	28	YP_009145671.1
62550	YP_009430221.1	28	YP_009430221.1
13387	YP_002456031.1	28	YP_002456031.1
112788	YP_010719856.1	28	YP_010719856.1
33559	YP_008408729.1	28	YP_008408729.1
24270	YP_007002322.1	28	YP_007002322.1
63049	YP_009448763.1	28	YP_009448763.1
23309	YP_006908322.1	28	YP_006908322.1
94052	YP_010056517.1	28	YP_010056517.1
18118	YP_004327519.1	28	YP_004327519.1
92958	YP_010002602.1	28	YP_010002602.1
30339	YP_008050811.1	28	YP_008050811.1
34044	YP_008436518.1	28	YP_008436518.1
19901	YP_004934661.1	28	YP_004934661.1
25571	YP_007006710.1	28	YP_007006710.1
99719	YP_010112192.1	27	YP_010112192.1
105432	YP_010651428.1	27	YP_010651428.1
10876	YP_001595172.1	27	YP_001595172.1
47567	YP_009177285.1	27	YP_009177285.1
181	2R7O_A	27	2R7O_A
98497	YP_010106500.1	27	YP_010106500.1
65024	YP_009513248.1	27	5M1G_B
56459	YP_009281943.1	27	3OQ3_B
53351	YP_009223958.1	27	YP_009223958.1
98553	YP_010106607.1	27	YP_010106607.1
5155	NP_720291.1	27	NP_720291.1
67711	YP_009599441.1	27	YP_009599441.1
104192	YP_010597344.1	27	YP_010597344.1
105431	YP_010651415.1	27	YP_010651415.1
257	3KBH_E	27	3KBH_E
10664	YP_001504189.1	27	YP_001504189.1
18067	YP_004327215.1	27	YP_004327215.1
26874	YP_007236994.1	27	YP_007236994.1
69447	YP_009610854.1	27	YP_009610854.1
84702	YP_009839010.1	27	YP_009839010.1
104689	YP_010648505.1	27	YP_010648505.1
48513	YP_009190936.1	27	YP_009190936.1
4640	NP_612694.1	27	6T3X_A
53878	YP_009226546.1	27	YP_009226546.1
28476	YP_007673417.1	27	YP_007673417.1
81416	YP_009818077.1	27	YP_009818077.1
99556	YP_010111641.1	27	YP_010111641.1
28607	YP_007673655.1	27	YP_007673655.1
95437	YP_010080369.1	27	YP_010080369.1
98368	YP_010105338.1	27	YP_010105338.1
93778	YP_010053024.1	27	YP_010053024.1
50356	YP_009208943.1	27	YP_009208943.1
22955	YP_006906309.1	27	YP_006906309.1
82065	YP_009820748.1	27	YP_009820748.1
68629	YP_009604137.1	27	YP_009604137.1
71551	YP_009621295.1	27	YP_009621295.1
7557	YP_001110887.1	27	YP_001110887.1
70274	YP_009613782.1	27	YP_009613782.1
75603	YP_009790176.1	27	YP_009790176.1
49037	YP_009196358.1	27	YP_009196358.1
5781	NP_818299.1	27	NP_818299.1
39788	YP_009046692.1	27	YP_009046692.1
23070	YP_006906885.1	27	YP_006906885.1
68501	YP_009603566.1	27	YP_009603566.1
92919	YP_010001623.1	27	YP_010001623.1
92920	YP_010001644.1	27	YP_010001644.1
92921	YP_010001673.1	27	YP_010001673.1
24046	YP_006990336.1	27	YP_006990336.1
28892	YP_007674614.1	27	YP_007674614.1
92922	YP_010001677.1	27	YP_010001677.1
93788	YP_010053040.1	27	YP_010053040.1
29728	YP_007869966.1	27	YP_007869966.1
11021	YP_001651006.1	27	YP_001651006.1
10877	YP_001595187.1	27	YP_001595187.1
28810	YP_007674347.1	27	YP_007674347.1
92928	YP_010001870.1	27	YP_010001870.1
99778	YP_010112640.1	27	YP_010112640.1
53190	YP_009223479.1	27	YP_009223479.1
53718	YP_009225793.1	27	YP_009225793.1
5766	NP_818225.1	27	NP_818225.1
29119	YP_007675573.1	27	YP_007675573.1
72449	YP_009626626.1	27	YP_009626626.1
55642	YP_009275481.1	27	YP_009275481.1
92916	YP_010001605.1	27	YP_010001605.1
26445	YP_007016515.1	27	6TH1_R
52886	YP_009222541.1	27	YP_009222541.1
5740	NP_818151.1	27	NP_818151.1
109266	YP_010669635.1	27	YP_010669635.1
53715	YP_009225782.1	27	YP_009225782.1
92876	YP_010001243.1	27	YP_010001243.1
94751	YP_010061822.1	27	YP_010061822.1
22907	YP_006906168.1	27	YP_006906168.1
15837	YP_003970126.1	27	YP_003970126.1
68166	YP_009601016.1	27	YP_009601016.1
11017	YP_001650960.1	27	YP_001650960.1
24900	YP_007004036.1	27	YP_007004036.1
92913	YP_010001580.1	27	YP_010001580.1
12293	YP_002014330.1	27	YP_002014330.1
45061	YP_009151966.1	27	YP_009151966.1
50633	YP_009211522.1	27	YP_009211522.1
33786	YP_008431055.1	27	YP_008431055.1
22896	YP_006906064.1	27	YP_006906064.1
107841	YP_010663217.1	27	YP_010663217.1
34541	YP_008770028.1	27	YP_008770028.1
110664	YP_010675390.1	27	YP_010675390.1
46411	YP_009168475.1	27	YP_009168475.1
105547	YP_010651876.1	27	YP_010651876.1
12136	YP_001994617.1	27	YP_001994617.1
101744	YP_010348228.1	27	YP_010348228.1
20263	YP_004957254.1	27	YP_004957254.1
99220	YP_010110581.1	27	YP_010110581.1
37469	YP_009013800.1	27	YP_009013800.1
85225	YP_009842170.1	27	YP_009842170.1
24385	YP_007002999.1	27	YP_007002999.1
99202	YP_010110560.1	27	YP_010110560.1
12788	YP_002241757.1	27	YP_002241757.1
105621	YP_010652352.1	27	YP_010652352.1
99241	YP_010110696.1	27	YP_010110696.1
105620	YP_010652341.1	27	YP_010652341.1
62465	YP_009408549.1	27	4D5S_A
37466	YP_009013794.1	27	YP_009013794.1
57019	YP_009289644.1	27	YP_009289644.1
112714	YP_010686054.1	27	YP_010686054.1
46295	YP_009167760.1	27	YP_009167760.1
32340	YP_008239763.1	27	YP_008239763.1
51135	YP_009215217.1	27	YP_009215217.1
17738	YP_004322947.1	27	YP_004322947.1
7285	YP_001034006.1	27	YP_001034006.1
71817	YP_009622970.1	27	YP_009622970.1
81755	YP_009819651.1	27	YP_009819651.1
87677	YP_009854189.1	27	YP_009854189.1
23501	YP_006986290.1	27	YP_006986290.1
26996	YP_007237511.1	27	YP_007237511.1
95411	YP_010080244.1	27	YP_010080244.1
82795	YP_009824073.1	27	YP_009824073.1
71819	YP_009623024.1	27	YP_009623024.1
5574	NP_817499.1	27	NP_817499.1
48626	YP_009191805.1	27	YP_009191805.1
48141	YP_009188579.1	27	YP_009188579.1
105623	YP_010652363.1	27	YP_010652363.1
112679	YP_010685509.1	27	YP_010685509.1
83498	YP_009832272.1	27	YP_009832272.1
12704	YP_002224703.1	27	YP_002224703.1
8097	YP_001294503.1	27	YP_001294503.1
87723	YP_009854272.1	27	YP_009854272.1
9525	YP_001467975.1	27	YP_001467975.1
48380	YP_009189576.1	27	YP_009189576.1
1900	NP_046792.1	27	tr_A0A1L4BLX2_A0A1L4BLX2_9CAUD
105640	YP_010652433.1	27	YP_010652433.1
71742	YP_009622693.1	27	YP_009622693.1
97856	YP_010097970.1	27	YP_010097970.1
26247	YP_007010507.1	27	YP_007010507.1
103397	YP_010359399.1	27	YP_010359399.1
114512	YP_164179.1	27	YP_164179.1
6879	NP_945299.1	27	NP_945299.1
110082	YP_010671963.1	27	YP_010671963.1
39280	YP_009041237.1	27	YP_009041237.1
33946	YP_008433500.1	27	YP_008433500.1
1899	NP_046791.1	27	tr_A0A1L4BLY2_A0A1L4BLY2_9CAUD
95929	YP_010083907.1	27	YP_010083907.1
99137	YP_010110219.1	27	YP_010110219.1
37414	YP_009012824.1	27	YP_009012824.1
12329	YP_002014688.1	27	YP_002014688.1
84945	YP_009840886.1	27	YP_009840886.1
90901	YP_009907784.1	27	YP_009907784.1
69468	YP_009611266.1	27	YP_009611266.1
12269	YP_002003930.1	27	YP_002003930.1
37475	YP_009013813.1	27	YP_009013813.1
6022	NP_839859.1	27	tr_A0A1L4BLY4_A0A1L4BLY4_9CAUD
71730	YP_009622606.1	27	YP_009622606.1
112733	YP_010719773.1	27	YP_010719773.1
55304	YP_009274248.1	27	YP_009274248.1
84779	YP_009839501.1	27	YP_009839501.1
90239	YP_009903621.1	27	YP_009903621.1
57763	YP_009302263.1	27	YP_009302263.1
95904	YP_010083238.1	27	YP_010083238.1
93708	YP_010052814.1	27	YP_010052814.1
84808	YP_009839785.1	27	YP_009839785.1
55300	YP_009274235.1	27	YP_009274235.1
114194	YP_073582.1	27	YP_073582.1
83515	YP_009832412.1	27	YP_009832412.1
37421	YP_009013068.1	27	YP_009013068.1
44587	YP_009150098.1	27	YP_009150098.1
112740	YP_010719783.1	27	YP_010719783.1
55280	YP_009274166.1	27	YP_009274166.1
88173	YP_009856761.1	27	YP_009856761.1
106837	YP_010658460.1	27	YP_010658460.1
57179	YP_009290911.1	27	YP_009290911.1
64798	YP_009508048.1	27	YP_009508048.1
48610	YP_009191780.1	27	tr_A0A1L4BLV9_A0A1L4BLV9_9CAUD
93603	YP_010051597.1	27	YP_010051597.1
55283	YP_009274184.1	27	YP_009274184.1
45257	YP_009158901.1	27	6PNS_A
37419	YP_009013051.1	27	YP_009013051.1
55305	YP_009274254.1	27	YP_009274254.1
23192	YP_006907628.1	27	YP_006907628.1
92137	YP_009976222.1	27	YP_009976222.1
34451	YP_008766950.1	27	tr_A0A1L4BLX4_A0A1L4BLX4_9CAUD
58626	YP_009315869.1	27	5MQC_B
85326	YP_009842705.1	27	YP_009842705.1
113281	YP_010742150.1	27	YP_010742150.1
116722	YP_453611.1	27	YP_453611.1
57733	YP_009301931.1	27	YP_009301931.1
51142	YP_009215263.1	27	YP_009215263.1
98194	YP_010104836.1	27	YP_010104836.1
108227	YP_010665444.1	27	YP_010665444.1
95334	YP_010079254.1	27	YP_010079254.1
29492	YP_007676863.1	27	YP_007676863.1
1904	NP_046849.1	27	NP_046849.1
5598	NP_817556.1	27	NP_817556.1
30429	YP_008051956.1	27	YP_008051956.1
113351	YP_010742748.1	27	YP_010742748.1
48015	YP_009187942.1	27	YP_009187942.1
37476	YP_009013814.1	27	YP_009013814.1
108057	YP_010664743.1	27	YP_010664743.1
70380	YP_009614241.1	27	YP_009614241.1
51152	YP_009215299.1	27	YP_009215299.1
74071	YP_009755841.1	27	YP_009755841.1
2433	NP_049531.1	27	NP_049531.1
53203	YP_009223718.1	26	YP_009223718.1
113557	YP_010749773.1	26	YP_010749773.1
5712	NP_818034.1	26	NP_818034.1
59275	YP_009325675.1	26	YP_009325675.1
22842	YP_006905868.1	26	YP_006905868.1
54880	YP_009268988.1	26	YP_009268988.1
90180	YP_009902143.1	26	YP_009902143.1
23573	YP_006987179.1	26	YP_006987179.1
76427	YP_009795563.1	26	YP_009795563.1
23103	YP_006907303.1	26	YP_006907303.1
11014	YP_001650952.1	26	YP_001650952.1
37546	YP_009014615.1	26	YP_009014615.1
51089	YP_009214752.1	26	YP_009214752.1
5708	NP_818015.1	26	NP_818015.1
87435	YP_009852501.1	26	YP_009852501.1
107831	YP_010663107.1	26	YP_010663107.1
79124	YP_009808595.1	26	YP_009808595.1
89156	YP_009877493.1	26	YP_009877493.1
11013	YP_001650946.1	26	YP_001650946.1
51264	YP_009216068.1	26	YP_009216068.1
110234	YP_010672525.1	26	YP_010672525.1
40301	YP_009054939.1	26	YP_009054939.1
23357	YP_006908530.1	26	4YE7_B
21659	YP_006383039.1	26	YP_006383039.1
47571	YP_009177300.1	26	YP_009177300.1
50754	YP_009212796.1	26	YP_009212796.1
80906	YP_009815947.1	26	YP_009815947.1
8806	YP_001426640.1	26	YP_001426640.1
29852	YP_007877490.1	26	YP_007877490.1
42703	YP_009119638.1	26	YP_009119638.1
69446	YP_009610845.1	26	YP_009610845.1
41291	YP_009100492.1	26	YP_009100492.1
87059	YP_009850116.1	26	YP_009850116.1
9688	YP_001468642.1	26	YP_001468642.1
5580	NP_817508.1	26	NP_817508.1
48662	YP_009193751.1	26	YP_009193751.1
95476	YP_010080500.1	26	YP_010080500.1
29806	YP_007877429.1	26	YP_007877429.1
89639	YP_009884007.1	26	YP_009884007.1
52440	YP_009221180.1	26	YP_009221180.1
21718	YP_006383220.1	26	YP_006383220.1
29825	YP_007877454.1	26	YP_007877454.1
93775	YP_010053019.1	26	YP_010053019.1
89777	YP_009884444.1	26	YP_009884444.1
100896	YP_010298673.1	26	YP_010298673.1
2701	NP_059299.1	26	NP_059299.1
105743	YP_010653423.1	26	YP_010653423.1
5611	NP_817576.1	26	NP_817576.1
53731	YP_009225907.1	26	YP_009225907.1
28704	YP_007673944.1	26	YP_007673944.1
95413	YP_010080248.1	26	YP_010080248.1
105566	YP_010651997.1	26	YP_010651997.1
68871	YP_009606572.1	26	YP_009606572.1
81792	YP_009819739.1	26	YP_009819739.1
42	1KVP_A	26	1KVP_A
105638	YP_010652420.1	26	YP_010652420.1
46625	YP_009172894.1	26	YP_009172894.1
37327	YP_009012291.1	26	YP_009012291.1
37333	YP_009012327.1	26	YP_009012327.1
86715	YP_009848416.1	26	YP_009848416.1
68885	YP_009606782.1	26	YP_009606782.1
52954	YP_009222707.1	26	YP_009222707.1
5371	NP_795479.1	26	6X3M_A
50635	YP_009211524.1	26	YP_009211524.1
76582	YP_009796743.1	26	YP_009796743.1
53724	YP_009225851.1	26	YP_009225851.1
59978	YP_009333611.1	26	YP_009333611.1
47312	YP_009174739.1	26	YP_009174739.1
1177	NP_037687.1	26	2OG0_A
16965	YP_004286297.1	26	YP_004286297.1
95339	YP_010079272.1	26	YP_010079272.1
53729	YP_009225881.1	26	YP_009225881.1
100981	YP_010299012.1	26	YP_010299012.1
5573	NP_817498.1	26	NP_817498.1
5670	NP_817886.1	26	NP_817886.1
51334	YP_009216462.1	26	YP_009216462.1
104723	YP_010648558.1	26	YP_010648558.1
5137	NP_705638.1	26	NP_705638.1
24119	YP_007001546.1	26	YP_007001546.1
12684	YP_002224060.1	26	YP_002224060.1
115707	YP_240077.1	26	YP_240077.1
39579	YP_009043879.2	26	YP_009043879.2
48014	YP_009187926.1	26	YP_009187926.1
67323	YP_009597997.1	26	YP_009597997.1
92514	YP_009997682.1	26	YP_009997682.1
61916	YP_009361883.1	26	YP_009361883.1
57634	YP_009301176.1	26	YP_009301176.1
30674	YP_008058130.1	26	YP_008058130.1
29563	YP_007677503.1	26	YP_007677503.1
6039	NP_848215.1	26	3J40_A
2427	NP_049510.1	26	NP_049510.1
57542	YP_009300741.1	26	YP_009300741.1
230	3DCG_E	26	3DCG_E
93410	YP_010050460.1	26	YP_010050460.1
13779	YP_002922846.1	26	YP_002922846.1
97927	YP_010100575.1	26	YP_010100575.1
115156	YP_223928.1	26	YP_223928.1
11375	YP_001718741.1	26	YP_001718741.1
91920	YP_009963140.1	26	YP_009963140.1
26640	YP_007112836.1	26	YP_007112836.1
12193	YP_002003572.1	26	YP_002003572.1
68426	YP_009603117.1	26	YP_009603117.1
104193	YP_010597405.1	26	YP_010597405.1
98266	YP_010105091.1	26	YP_010105091.1
44970	YP_009151321.1	26	YP_009151321.1
71199	YP_009620189.1	26	YP_009620189.1
45216	YP_009153448.1	26	YP_009153448.1
82165	YP_009820876.1	26	YP_009820876.1
18066	YP_004327212.1	26	YP_004327212.1
71194	YP_009620180.1	26	YP_009620180.1
24111	YP_007001470.1	26	YP_007001470.1
18247	YP_004415031.1	26	YP_004415031.1
71190	YP_009620169.1	26	YP_009620169.1
111419	YP_010677509.1	26	YP_010677509.1
97034	YP_010090288.1	26	YP_010090288.1
26639	YP_007112824.1	26	YP_007112824.1
70754	YP_009616736.1	26	YP_009616736.1
48004	YP_009187841.1	26	YP_009187841.1
39523	YP_009043557.1	26	YP_009043557.1
86243	YP_009846204.1	26	3PQI_A
70658	YP_009615710.1	26	YP_009615710.1
24247	YP_007002265.1	26	YP_007002265.1
93402	YP_010050386.1	26	YP_010050386.1
24250	YP_007002277.1	26	YP_007002277.1
24251	YP_007002278.1	26	YP_007002278.1
92083	YP_009966143.1	26	YP_009966143.1
44015	YP_009143139.1	26	YP_009143139.1
67348	YP_009598462.1	26	8HDR_a
48858	YP_009194302.1	26	YP_009194302.1
116672	YP_424936.1	26	YP_424936.1
62392	YP_009408006.1	26	7YTT_A
1919	NP_047139.1	26	NP_047139.1
85513	YP_009843890.1	26	YP_009843890.1
49825	YP_009202231.1	26	YP_009202231.1
49832	YP_009202256.1	26	YP_009202256.1
95908	YP_010083378.1	26	YP_010083378.1
93325	YP_010049639.1	26	YP_010049639.1
70760	YP_009616752.1	26	YP_009616752.1
64105	YP_009482924.1	26	YP_009482924.1
94688	YP_010059876.1	26	YP_010059876.1
22342	YP_006546279.1	26	YP_006546279.1
24239	YP_007002193.1	26	YP_007002193.1
39509	YP_009043190.1	26	YP_009043190.1
466	4XVN_A	26	4XVN_A
30686	YP_008058345.1	26	YP_008058345.1
84997	YP_009841378.1	26	YP_009841378.1
74407	YP_009780233.1	26	YP_009780233.1
26246	YP_007010492.1	26	YP_007010492.1
66053	YP_009594123.1	26	YP_009594123.1
24225	YP_007002147.1	26	YP_007002147.1
74410	YP_009780493.1	26	YP_009780493.1
25344	YP_007006237.1	26	YP_007006237.1
102414	YP_010357254.1	26	YP_010357254.1
24228	YP_007002157.1	26	YP_007002157.1
24229	YP_007002158.1	26	YP_007002158.1
24232	YP_007002165.1	26	YP_007002165.1
24233	YP_007002167.1	26	YP_007002167.1
24234	YP_007002168.1	26	YP_007002168.1
94881	YP_010064245.1	26	YP_010064245.1
98343	YP_010105305.1	26	YP_010105305.1
22668	YP_006561127.1	26	YP_006561127.1
92866	YP_010001151.1	26	YP_010001151.1
72561	YP_009638316.1	26	YP_009638316.1
17528	YP_004306754.1	26	YP_004306754.1
36922	YP_009009874.1	26	YP_009009874.1
49231	YP_009198839.1	26	YP_009198839.1
91491	YP_009949790.1	26	YP_009949790.1
93878	YP_010054338.1	26	YP_010054338.1
1127	8HDR_M	26	8HDR_M
29535	YP_007677171.1	26	7URG_A
72560	YP_009638299.1	26	YP_009638299.1
110349	YP_010672847.1	26	YP_010672847.1
71281	YP_009620547.1	26	YP_009620547.1
108469	YP_010666339.1	26	YP_010666339.1
56426	YP_009281134.1	26	YP_009281134.1
107373	YP_010660688.1	26	YP_010660688.1
92917	YP_010001620.1	26	YP_010001620.1
17531	YP_004306769.1	26	YP_004306769.1
108457	YP_010666032.1	26	YP_010666032.1
67954	YP_009600220.1	26	YP_009600220.1
40	1JMU_G	26	1JMU_G
86426	YP_009846957.1	26	YP_009846957.1
86430	YP_009846967.1	26	YP_009846967.1
38801	YP_009031349.1	26	YP_009031349.1
7213	YP_001031243.1	26	YP_001031243.1
6653	NP_938226.1	26	NP_938226.1
24038	YP_006990256.1	26	YP_006990256.1
6654	NP_938230.1	26	NP_938230.1
93826	YP_010053399.1	26	YP_010053399.1
6656	NP_938243.1	26	NP_938243.1
110881	YP_010675953.1	26	YP_010675953.1
117945	YP_794070.1	26	YP_794070.1
9818	YP_001468956.1	26	YP_001468956.1
6683	NP_943781.1	26	NP_943781.1
91655	YP_009951374.1	26	YP_009951374.1
75063	YP_009786335.1	26	YP_009786335.1
9959	YP_001469148.1	26	YP_001469148.1
108710	YP_010667428.1	26	YP_010667428.1
9963	YP_001469167.1	26	YP_001469167.1
74697	YP_009784718.1	26	YP_009784718.1
9961	YP_001469151.1	26	YP_001469151.1
30348	YP_008050901.1	26	YP_008050901.1
15236	YP_003857162.1	26	YP_003857162.1
101466	YP_010347734.1	26	4GBF_A
65901	YP_009591232.1	26	YP_009591232.1
47211	YP_009174494.1	25	YP_009174494.1
132	2GP8_A	25	2GP8_A
99996	YP_010113701.1	25	YP_010113701.1
118403	YP_950510.1	25	YP_950510.1
11697	YP_001950029.1	25	YP_001950029.1
44124	YP_009145761.1	25	YP_009145761.1
30396	YP_008051284.1	25	YP_008051284.1
44123	YP_009145752.1	25	YP_009145752.1
48504	YP_009190831.1	25	YP_009190831.1
84434	YP_009837727.1	25	YP_009837727.1
71516	YP_009621096.1	25	YP_009621096.1
41608	YP_009103256.1	25	YP_009103256.1
39311	YP_009042098.1	25	4TT0_A
78192	YP_009802737.1	25	YP_009802737.1
527	5HHG_C	25	5HHG_C
74405	YP_009780157.1	25	YP_009780157.1
74404	YP_009779777.1	25	YP_009779777.1
99812	YP_010112893.1	25	YP_010112893.1
89230	YP_009880007.1	25	YP_009880007.1
10632	YP_001498861.1	25	YP_001498861.1
30684	YP_008058241.1	25	YP_008058241.1
53742	YP_009225968.1	25	YP_009225968.1
67979	YP_009600352.1	25	YP_009600352.1
49773	YP_009201928.1	25	YP_009201928.1
2329	NP_048826.1	25	NP_048826.1
97037	YP_010090372.1	25	YP_010090372.1
44122	YP_009145737.1	25	YP_009145737.1
41397	YP_009101647.1	25	YP_009101647.1
97543	YP_010094696.1	25	YP_010094696.1
38979	YP_009035485.1	25	YP_009035485.1
65413	YP_009552652.1	25	YP_009552652.1
96254	YP_010084921.1	25	YP_010084921.1
37239	YP_009011885.1	25	YP_009011885.1
109271	YP_010669674.1	25	YP_010669674.1
90197	YP_009902536.1	25	YP_009902536.1
27533	YP_007354351.1	25	YP_007354351.1
41373	YP_009101236.1	25	YP_009101236.1
78242	YP_009802985.1	25	YP_009802985.1
29713	YP_007869834.1	25	YP_007869834.1
4233	NP_445728.1	25	NP_445728.1
69459	YP_009611080.1	25	YP_009611080.1
12634	YP_002213834.1	25	YP_002213834.1
27433	YP_007354083.1	25	YP_007354083.1
35929	YP_009004161.1	25	YP_009004161.1
44113	YP_009145646.1	25	YP_009145646.1
36012	YP_009004544.1	25	YP_009004544.1
3152	NP_076558.1	25	NP_076558.1
6652	NP_938217.1	25	NP_938217.1
7750	YP_001165262.1	25	YP_001165262.1
44114	YP_009145659.1	25	YP_009145659.1
44119	YP_009145689.1	25	YP_009145689.1
1440	NP_042208.1	25	2VVW_A
44121	YP_009145697.1	25	YP_009145697.1
13772	YP_002922806.1	25	YP_002922806.1
59454	YP_009329203.1	25	YP_009329203.1
53743	YP_009225975.1	25	YP_009225975.1
63916	YP_009482026.1	25	YP_009482026.1
30430	YP_008051985.1	25	YP_008051985.1
70980	YP_009618754.1	25	YP_009618754.1
51966	YP_009219039.1	25	YP_009219039.1
23496	YP_006923.1	25	YP_006923.1
70975	YP_009618612.1	25	YP_009618612.1
84788	YP_009839589.1	25	YP_009839589.1
